iter	RMSE
282	3356.33263
283	3353.242881
284	3350.798197
285	3349.470471
286	3345.482623
287	3342.176247
288	3339.329213
289	3336.765331
290	3331.713765
291	3328.763298
292	3327.494192
293	3325.269031
294	3322.49949
295	3320.383693
296	3317.772533
297	3315.122073
298	3313.791025
299	3311.752114
300	3310.01697
301	3306.999196
302	3305.401714
303	3300.867763
304	3297.435195
305	3294.383057
306	3293.079009
307	3292.080531
308	3289.84767
309	3286.880325
310	3285.061367
311	3282.770087
312	3278.34076
313	3275.99143
314	3272.497344
315	3268.289989
316	3266.003688
317	3264.782958
318	3263.672528
319	3260.566818
320	3257.851808
321	3253.40572
322	3251.145196
323	3248.497649
324	3246.474451
325	3243.208467
326	3239.719366
327	3237.516616
328	3236.589608
329	3235.127478
330	3234.234398
331	3231.247295
332	3230.243558
333	3228.527691
334	3226.985179
335	3223.044424
336	3219.319272
337	3215.670237
338	3213.86547
339	3211.259622
340	3207.647597
341	3204.5159
342	3202.442886
343	3200.869041
344	3198.274944
345	3195.052423
346	3192.1225
347	3191.281277
348	3189.021594
349	3185.495585
350	3183.641271
351	3181.320708
352	3179.319883
353	3177.818816
354	3175.097853
355	3172.81825
356	3170.096428
357	3168.039239
358	3165.740686
359	3164.507313
360	3162.408951
361	3160.212582
362	3157.809338
363	3155.855138
364	3154.292965
365	3152.912835
366	3152.026465
367	3149.436866
368	3147.317844
369	3145.004015
370	3142.572532
371	3139.911419
372	3137.588647
373	3135.309773
374	3133.592194
375	3131.198982
376	3128.156979
377	3127.042849
378	3125.332476
379	3124.023953
380	3123.205089
381	3120.118207
382	3118.47326
383	3115.746455
384	3113.159801
385	3111.546953
386	3108.961355
387	3108.018515
388	3105.479929
389	3102.903789
390	3101.293931
391	3100.376242
392	3097.916229
393	3096.925173
394	3095.208027
395	3092.913075
396	3089.803093
397	3087.825107
398	3086.042213
399	3084.049476
400	3082.134778
401	3080.440914
402	3078.037053
403	3075.356255
404	3073.857233
405	3071.942512
406	3070.485123
407	3068.406658
408	3066.478997
409	3064.872601
410	3063.147131
411	3061.979542
412	3060.707679
413	3058.642246
414	3057.183494
415	3055.374066
416	3054.3796
417	3052.821335
418	3052.143288
419	3050.656418
420	3047.937862
421	3046.201399
422	3043.871072
423	3042.942129
424	3042.316014
425	3040.695221
426	3038.425112
427	3036.682692
428	3035.144837
429	3032.947361
430	3030.666369
431	3028.51993
432	3028.000738
433	3026.005397
434	3024.431559
435	3023.844917
436	3022.291795
437	3019.91619
438	3017.993369
439	3016.390581
440	3014.369189
441	3013.252889
442	3010.833295
443	3009.327632
444	3007.875268
445	3006.534886
446	3005.385685
447	3003.755961
448	3001.460809
449	2998.95094
450	2996.527832
451	2995.402398
452	2994.977625
453	2992.636432
454	2990.279256
455	2988.976465
456	2987.080118
457	2985.275857
458	2983.401448
459	2982.047263
460	2979.932827
461	2979.478497
462	2977.863092
463	2976.459403
464	2975.992441
465	2975.555035
466	2973.520864
467	2972.344739
468	2971.141953
469	2969.659756
470	2969.16251
471	2966.547949
472	2965.264921
473	2964.203605
474	2962.378047
475	2961.064797
476	2959.715126
477	2957.582907
478	2956.533478
479	2954.448348
480	2952.40369
481	2950.747263
482	2949.300744
483	2947.588168
484	2947.056513
485	2945.499136
486	2943.192352
487	2941.972391
488	2940.676423
489	2939.471169
490	2938.540827
491	2937.183559
492	2935.598296
493	2935.124004
494	2933.762017
495	2932.426635
496	2931.442089
497	2930.487932
498	2929.766172
499	2928.806461
500	2927.613918
501	2926.66873
502	2925.867526
503	2924.112861
504	2922.403727
505	2921.315927
506	2918.913415
507	2917.32658
508	2915.514454
509	2913.188984
510	2912.017198
511	2910.009602
512	2908.939869
513	2908.546635
514	2907.216792
515	2905.827026
516	2905.150523
517	2903.883541
518	2902.854395
519	2901.149839
520	2899.631576
521	2898.634433
522	2895.756644
523	2894.566587
524	2893.420057
525	2891.940856
526	2890.106783
527	2888.723675
528	2887.468252
529	2886.232028
530	2884.3358
531	2882.899432
532	2881.343597
533	2880.414823
534	2879.870561
535	2878.794715
536	2877.423466
537	2876.289271
538	2874.797388
539	2873.813082
540	2873.478952
541	2872.194502
542	2871.493419
543	2869.937834
544	2869.308441
545	2868.161951
546	2866.511222
547	2864.859178
548	2863.40404
549	2861.484975
550	2860.255803
551	2859.742361
552	2858.647191
553	2857.190617
554	2855.175693
555	2854.839186
556	2853.451799
557	2853.26615
558	2852.431443
559	2850.993861
560	2849.742286
561	2848.923562
562	2848.260559
563	2847.226981
564	2845.945444
565	2845.089122
566	2844.046659
567	2843.710304
568	2843.369183
569	2842.71969
570	2841.482532
571	2840.448116
572	2839.579385
573	2837.691245
574	2836.16211
575	2835.814442
576	2834.898073
577	2833.659586
578	2832.241751
579	2831.083861
580	2830.143857
581	2828.669783
582	2826.069847
583	2824.749374
584	2823.745897
585	2822.560047
586	2821.15142
587	2819.098834
588	2818.49034
589	2817.337756
590	2816.176839
591	2815.470226
592	2813.776234
593	2813.543881
594	2812.89425
595	2811.879847
596	2810.577772
597	2809.138024
598	2808.909238
599	2807.944703
600	2807.776997
601	2806.9322
602	2806.055588
603	2804.996403
604	2804.185653
605	2804.008198
606	2802.384003
607	2801.236086
608	2799.686716
609	2798.642994
610	2797.362986
611	2795.980337
612	2795.430446
613	2794.453308
614	2794.212273
615	2792.134419
616	2791.094269
617	2789.130917
618	2788.363909
619	2786.887827
620	2785.730728
621	2784.840108
622	2783.339172
623	2780.937509
624	2779.090286
625	2777.485546
626	2776.467647
627	2775.627576
628	2774.856227
629	2774.186674
630	2773.706912
631	2772.842053
632	2771.868075
633	2770.705409
634	2769.856821
635	2769.201932
636	2768.738509
637	2767.908479
638	2766.929871
639	2765.743919
640	2764.773849
641	2763.782297
642	2763.021226
643	2761.941585
644	2760.980541
645	2760.14622
646	2759.073763
647	2758.13515
648	2757.335985
649	2757.107569
650	2756.949374
651	2755.641606
652	2754.258496
653	2753.616788
654	2751.753943
655	2750.366983
656	2749.811115
657	2748.464524
658	2747.859298
659	2747.016546
660	2746.791348
661	2745.787734
662	2745.109631
663	2743.970451
664	2742.890981
665	2741.864751
666	2741.615546
667	2740.861447
668	2739.693609
669	2739.011504
670	2738.214574
671	2736.502476
672	2735.915271
673	2735.703636
674	2734.599225
675	2733.16067
676	2732.544689
677	2731.486882
678	2730.599099
679	2729.956161
680	2728.651403
681	2727.800562
682	2727.196986
683	2725.9886
684	2725.295046
685	2724.769771
686	2723.929237
687	2723.257236
688	2722.217806
689	2721.487544
690	2720.605253
691	2719.669239
692	2719.100572
693	2717.930456
694	2716.399675
695	2715.768119
696	2714.767347
697	2713.860522
698	2713.59693
699	2713.252938
700	2712.763586
701	2711.680136
702	2709.847863
703	2709.244564
704	2708.03175
705	2707.856849
706	2706.837224
707	2705.698193
708	2705.243648
709	2704.43168
710	2703.550039
711	2702.832067
712	2701.966567
713	2700.798643
714	2699.702906
715	2698.718757
716	2698.112751
717	2696.361265
718	2696.182681
719	2695.681345
720	2694.706901
721	2693.736531
722	2692.922397
723	2691.605339
724	2690.863326
725	2690.657959
726	2690.008507
727	2689.20786
728	2687.712163
729	2687.066997
730	2686.377174
731	2685.071074
732	2683.614157
733	2683.001125
734	2682.306856
735	2682.130527
736	2681.088509
737	2680.11542
738	2679.279846
739	2678.704445
740	2678.214369
741	2676.734133
742	2675.753194
743	2675.163089
744	2674.100547
745	2673.430934
746	2673.241451
747	2673.05744
748	2672.108502
749	2671.984484
750	2671.247176
751	2670.700953
752	2669.470051
753	2668.965791
754	2668.118001
755	2666.384099
756	2665.371908
757	2665.232294
758	2663.719124
759	2663.09375
760	2662.3941
761	2661.608638
762	2660.321525
763	2659.061598
764	2658.222771
765	2657.289771
766	2656.395037
767	2655.539341
768	2654.424952
769	2654.216093
770	2653.759402
771	2652.583189
772	2652.057092
773	2650.967247
774	2649.469937
775	2648.807703
776	2648.060709
777	2646.788339
778	2645.852409
779	2645.372359
780	2644.468232
781	2643.419421
782	2643.293887
783	2642.421945
784	2641.746126
785	2640.508064
786	2639.945358
787	2639.04248
788	2637.652935
789	2637.195819
790	2636.730439
791	2635.764317
792	2634.826397
793	2634.003666
794	2633.294155
795	2632.491943
796	2631.989604
797	2631.531544
798	2630.499737
799	2629.804247
800	2629.690375
801	2629.090587
802	2628.48323
803	2628.337543
804	2626.970245
805	2626.365442
806	2624.896841
807	2624.276536
808	2623.288577
809	2622.323321
810	2621.440337
811	2620.891269
812	2620.177238
813	2619.027761
814	2618.641522
815	2617.36305
816	2617.250735
817	2616.949664
818	2616.265798
819	2615.717125
820	2615.630885
821	2614.738508
822	2613.796071
823	2612.782497
824	2612.217729
825	2610.945492
826	2609.881539
827	2609.359682
828	2608.925836
829	2608.415494
830	2607.480801
831	2606.834133
832	2606.294995
833	2606.1894
834	2604.989989
835	2604.306166
836	2603.460308
837	2601.861672
838	2601.349687
839	2601.247921
840	2600.748889
841	2599.935974
842	2598.632435
843	2597.696497
844	2596.97483
845	2596.15456
846	2595.186851
847	2594.385788
848	2593.832913
849	2593.323458
850	2592.690132
851	2592.075668
852	2591.444731
853	2590.732665
854	2589.41623
855	2588.401413
856	2587.76173
857	2587.091963
858	2585.578512
859	2583.970672
860	2583.053381
861	2582.370794
862	2581.862255
863	2581.585903
864	2580.693158
865	2580.264657
866	2579.77439
867	2579.487126
868	2578.984147
869	2578.08969
870	2576.725716
871	2576.269925
872	2575.674645
873	2574.863751
874	2573.985354
875	2573.007143
876	2572.350228
877	2571.728201
878	2570.988963
879	2570.615529
880	2569.723878
881	2569.305009
882	2568.703214
883	2568.001889
884	2567.301561
885	2566.6701
886	2565.814485
887	2564.63649
888	2563.763962
889	2563.069833
890	2561.79685
891	2561.304318
892	2560.729312
893	2560.552796
894	2559.591467
895	2558.395859
896	2557.966288
897	2557.558046
898	2556.314584
899	2555.224237
900	2554.798707
901	2554.374577
902	2553.986686
903	2553.497801
904	2552.916798
905	2552.765328
906	2552.660376
907	2552.571825
908	2551.665867
909	2551.230411
910	2550.793747
911	2549.694467
912	2548.931141
913	2548.197823
914	2547.436306
915	2546.944904
916	2545.83464
917	2545.117571
918	2544.577086
919	2543.760891
920	2543.286272
921	2542.835342
922	2542.211381
923	2541.714493
924	2540.803564
925	2539.430603
926	2539.041848
927	2538.479706
928	2537.631225
929	2537.473633
930	2536.396267
931	2535.748138
932	2534.752301
933	2534.115792
934	2533.682635
935	2532.827575
936	2532.414607
937	2532.329672
938	2532.067549
939	2531.565792
940	2531.175816
941	2530.361662
942	2529.358381
943	2529.200551
944	2528.008973
945	2526.542191
946	2525.915594
947	2525.601168
948	2525.109303
949	2524.632778
950	2524.145073
951	2523.381011
952	2522.834039
953	2522.338662
954	2521.861355
955	2521.789746
956	2521.37339
957	2520.843998
958	2520.212922
959	2519.664801
960	2518.585886
961	2517.530252
962	2516.701699
963	2516.148588
964	2515.345718
965	2514.569134
966	2513.764764
967	2513.498498
968	2513.100855
969	2512.788125
970	2512.386395
971	2512.290526
972	2511.398239
973	2511.057252
974	2510.713064
975	2510.070497
976	2509.643631
977	2509.100257
978	2508.653402
979	2508.221384
980	2507.566859
981	2507.019602
982	2506.411872
983	2505.597081
984	2505.164328
985	2505.090659
986	2504.848807
987	2504.030379
988	2503.952399
989	2503.255469
990	2503.191602
991	2503.11956
992	2501.886037
993	2501.822367
994	2500.74552
995	2500.004374
996	2499.715648
997	2498.636993
998	2497.694016
999	2497.627566
